2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER
CASE_STATUS,STATUS,PW_DETERMINATION_DATE,PW_DETERM_DATE,PW_DETERMINATION_DATE,STATUS,SUBMIT_DATE,SUBMIT_DATE,SUBMIT_DATE,SUBMIT_DATE,CASE_STATUS,CASE_STATUS,CASE_STATUS,CASE_STATUS,CASE_STATUS,CASE_STATUS
PW_REDETERMINATION_DATE,PW_REDETERMINATION_DATE,PW_REDETERMINATION_DATE,PW_REDETERMINATION_DATE,PW_REDETERMINATION_DATE,SUBMIT_DATE,DETERMINATION_DATE,DETERMINATION_DATE,DETERMINATION_DATE,DETERMINATION_DATE,RECEIVED_DATE,RECEIVED_DATE,RECEIVED_DATE,RECEIVED_DATE,RECEIVED_DATE,RECEIVED_DATE
APPLICATION_TYPE,PW_WITHDRAWAL_DATE,PW_WITHDRAWAL_DATE,PW_WITHDRAWAL_DATE,PW_WITHDRAWAL_DATE,CASE_ASSIGNED_TO_ANALYST,REDETERMINATION_DATE,REDETERMINATION_DATE,REDTERMINATION_DATE,REDETERMINATION_DATE,DETERMINATION_DATE,DETERMINATION_DATE,DETERMINATION_DATE,DETERMINATION_DATE,DETERMINATION_DATE,DETERMINATION_DATE
EMPLOYER_LEGAL_BUSINESS_NAME,VISA_CLASS,CASE_STATUS,CASE_STATUS,CASE_STATUS,CASE_SENT_TO_CO_FOR_APPROVAL,WITHDRAWAL_DATE,CENTER_DIRECTOR_REVIEW_DATE,CENTER_DIRECTOR_REVIEW_DATE,CENTER_DIRECTOR_REVIEW_DATE,REDETERMINATION_DATE,REDETERMINATION_DATE,REDETERMINATION_DATE,REDETERMINATION_DATE,REDETERMINATION_DATE,REDETERMINATION_DATE
EMPLOYER_TRADE_DBA_NAME,EMPLOYER_LEGAL_BUSINESS_NAME,VISA_CLASS,VISA_CLASS,VISA_CLASS,DETERMINATION_ISSUED,CASE_STATUS,WITHDRAWAL_DATE,WITHDRAWAL_DATE,WITHDRAWAL_DATE,CENTER_DIRECTOR_REVIEW_DATE,CENTER_DIRECTOR_REVIEW_DATE,CENTER_DIRECTOR_REVIEW_DATE,CENTER_DIRECTOR_REVIEW_DATE,CENTER_DIRECTOR_REVIEW_DATE,CENTER_DIRECTOR_REVIEW_DATE
EMPLOYER_ADDRESS_1,EMPLOYER_TRADE_DBA_NAME,EMPLYER_LEGAL_BUSINESS_NAME,EMPLOYER_LEGAL_BUSINESS_NAME,EMPLOYER_LEGAL_BUSINESS_NAME,DATE_REDETERMINATION_RECEIVED,VISA_CLASS,CASE_STATUS,CASE_STATUS,CASE_STATUS,WITHDRAWAL_DATE,WITHDRAWAL_DATE,WITHDRAWAL_DATE,WITHDRAWAL_DATE,WITHDRAWAL_DATE,WITHDRAWAL_DATE
EMPLOYER_ADDRESS_2,EMPLOYER_ADDRESS_1,EMPLOYER_TRADE_DBA_NAME,EMPLOYER_TRADE_DBA_NAME,EMPLOYER_TRADE_DBA_NAME,DATE_REDETERMINATION_ISSUED,BUSINESS_NAME,VISA_CLASS,VISA_CLASS,VISA_CLASS,VISA_CLASS,VISA_CLASS,VISA_CLASS,VISA_CLASS,VISA_CLASS,VISA_CLASS
EMPLOYER_CITY,EMPLOYER_ADDRESS_2,EMPLOYER_ADDRESS_1,EMPLOYER_ADDFRESS_1,EMPLOYER ADDRESS 1,WITHDRAWAL_DATE,TRADE_NAME,BUSINESS_NAME,BUSINESS_NAME,BUSINESS_NAME,REQUESTOR_POC_LAST_NAME,EMPLOYER_POC_LAST_NAME,EMPLOYER_POC_LAST_NAME,EMPLOYER_POC_LAST_NAME,EMPLOYER_POC_LAST_NAME,EMPLOYER_POC_LAST_NAME
EMPLOYER_STATE,EMPLOYER_CITY,EMPLOYER_ADDRESS_2,EMPLOYER_ADDRESS_2,EMPLOYER ADDRESS 2,VOIDED_DATE,EMPLOYER_ADDRESS_1,TRADE_NAME,TRADE_NAME,TRADE_NAME,REQUESTOR_POC_FIRST_NAME,EMPLOYER_POC_FIRST_NAME,EMPLOYER_POC_FIRST_NAME,EMPLOYER_POC_FIRST_NAME,EMPLOYER_POC_FIRST_NAME,EMPLOYER_POC_FIRST_NAME
