2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,,,,,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER,CASE_NUMBER
,,,,,,,,,,WORKSITE_STATE,WORKSITE_COUNTY,WORKSITE_COUNTY,WORKSITE_COUNTY,WORKSITE_COUNTY,WORKSITE_COUNTY
,,,,,,,,,,WORKSITE_BLS_AREA,WORKSITE_STATE,WORKSITE_STATE,WORKSITE_STATE,WORKSITE_STATE,WORKSITE_STATE
,,,,,,,,,,WORKSITE_COUNTY_TOWNSHIP,WORKSITE_BLS_AREA,WORKSITE_BLS_AREA,WORKSITE_BLS_AREA,WORKSITE_BLS_AREA,WORKSITE_BLS_AREA
,,,,,,,,,,WAGE_SOURCE,SOC_CODE,SOC_CODE,SOC_CODE,SOC_CODE,SOC_CODE
,,,,,,,,,,OTHER_WAGE_SOURCE,SOC_TITLE,SOC_TITLE,SOC_TITLE,SOC_TITLE,SOC_TITLE
,,,,,,,,,,PREVAILING_WAGE,MIN_REQ_PW_SOURCE,MIN_REQ_PW_SOURCE,MIN_REQ_PW_SOURCE,MIN_REQ_PW_SOURCE,MIN_REQ_PW_SOURCE
,,,,,,,,,,PW_UNIT_OF_PAY,MIN_REQ_PREVAILING_WAGE,MIN_REQ_PREVAILING_WAGE,MIN_REQ_PREVAILING_WAGE,MIN_REQ_PREVAILING_WAGE,MIN_REQ_PREVAILING_WAGE
,,,,,,,,,,,MIN_REQ_PW_UNIT_OF_PAY,MIN_REQ_PW_UNIT_OF_PAY,MIN_REQ_PW_UNIT_OF_PAY,MIN_REQ_PW_UNIT_OF_PAY,MIN_REQ_PW_UNIT_OF_PAY
,,,,,,,,,,,ALT_REQ_PW_SOURCE,ALT_REQ_PW_SOURCE,ALT_REQ_PW_SOURCE,ALT_REQ_PW_SOURCE,ALT_REQ_PW_SOURCE
,,,,,,,,,,,ALT_REQ_PREVAILING_WAGE,ALT_REQ_PREVAILING_WAGE,ALT_REQ_PREVAILING_WAGE,ALT_REQ_PREVAILING_WAGE,ALT_REQ_PREVAILING_WAGE
,,,,,,,,,,,ALT_REQ_PW_UNIT_OF_PAY,ALT_REQ_PW_UNIT_OF_PAY,ALT_REQ_PW_UNIT_OF_PAY,ALT_REQ_PW_UNIT_OF_PAY,ALT_REQ_PW_UNIT_OF_PAY
